,carat,cut,color,clarity,depth,table,price,x,y,z,cut value,color value,clarity value
9776,1.13,IDEAL,E,SI2,61.8,57.0,5120,6.68,6.65,4.12,5,6,2
9777,1.01,PREMIUM,H,VS2,62.1,57.0,5120,6.45,6.39,3.99,4,3,4
9778,1.15,PREMIUM,I,VS2,62.6,56.0,5120,6.74,6.67,4.2,4,2,4
9779,1.0,VERY GOOD,H,VS2,62.9,57.0,5121,6.31,6.35,3.98,3,3,4
9780,1.27,PREMIUM,J,SI1,61.8,58.0,5121,6.97,6.91,4.29,4,1,3
9781,1.01,VERY GOOD,D,SI1,62.2,58.0,5122,6.36,6.4,3.97,3,7,3
9782,1.01,FAIR,D,SI1,66.2,56.0,5122,6.05,6.1,4.02,1,7,3
9783,1.15,PREMIUM,I,SI2,61.3,57.3,5123,6.71,6.78,4.13,4,2,2
9784,0.9,VERY GOOD,D,SI1,62.3,53.0,5123,6.2,6.22,3.87,3,7,3
9785,1.07,PREMIUM,H,SI1,60.0,60.0,5123,6.65,6.61,3.98,4,3,3
9786,1.07,PREMIUM,H,SI1,61.5,57.0,5123,6.63,6.55,4.05,4,3,3
9787,1.07,PREMIUM,H,SI1,60.4,59.0,5123,6.65,6.62,4.01,4,3,3
9788,1.07,IDEAL,H,SI1,60.9,57.0,5123,6.68,6.61,4.05,5,3,3
9789,1.21,IDEAL,I,SI1,62.4,55.0,5124,6.78,6.81,4.24,5,2,3
9790,1.16,IDEAL,J,SI1,61.8,55.0,5124,6.75,6.78,4.18,5,1,3
9791,1.3,GOOD,J,SI2,62.9,56.0,5124,6.9,6.94,4.35,2,1,2
9792,1.22,IDEAL,I,SI1,62.5,56.0,5124,6.82,6.79,4.25,5,2,3
9793,1.09,IDEAL,H,SI1,62.3,55.0,5125,6.58,6.61,4.11,5,3,3
9794,1.09,IDEAL,H,SI1,61.1,57.0,5125,6.6,6.69,4.1,5,3,3
9795,1.09,IDEAL,H,SI1,62.5,56.0,5125,6.53,6.58,4.1,5,3,3
9796,1.09,IDEAL,H,SI1,61.1,57.0,5125,6.62,6.71,4.07,5,3,3
9797,1.15,IDEAL,J,VS2,60.7,55.0,5125,6.77,6.83,4.13,5,1,4
9798,1.04,IDEAL,E,SI2,61.9,57.0,5125,6.48,6.51,4.02,5,6,2
9799,1.24,IDEAL,J,SI1,61.9,56.0,5125,6.95,6.88,4.28,5,1,3
9800,1.01,IDEAL,H,SI1,62.6,55.0,5126,6.41,6.44,4.02,5,3,3
9801,0.93,IDEAL,G,SI1,60.1,57.0,5126,6.33,6.41,3.83,5,4,3
9802,1.05,IDEAL,G,SI2,62.7,57.0,5127,6.45,6.51,4.06,5,4,2
9803,1.11,IDEAL,G,SI1,62.0,57.0,5127,6.69,6.61,4.12,5,4,3
9804,1.09,PREMIUM,E,SI2,60.9,59.0,5127,6.75,6.61,4.07,4,6,2
9805,1.09,IDEAL,E,SI2,61.6,55.0,5127,6.64,6.6,4.08,5,6,2
9806,1.09,IDEAL,E,SI2,61.9,55.0,5127,6.64,6.6,4.1,5,6,2
9807,1.09,PREMIUM,E,SI2,61.4,58.0,5127,6.67,6.63,4.08,4,6,2
9808,1.24,PREMIUM,J,VS2,62.0,58.0,5128,6.87,6.91,4.27,4,1,4
9809,1.05,IDEAL,H,SI1,62.4,57.0,5128,6.49,6.52,4.06,5,3,3
9810,1.03,PREMIUM,H,SI1,62.5,59.0,5129,6.46,6.41,4.02,4,3,3
9811,1.09,VERY GOOD,H,SI1,60.6,60.0,5131,6.61,6.68,4.03,3,3,3
9812,1.02,VERY GOOD,H,SI1,59.9,58.0,5131,6.57,6.66,3.96,3,3,3
9813,1.01,PREMIUM,G,VS2,61.2,59.0,5131,6.43,6.37,3.92,4,4,4
9814,1.1,GOOD,H,SI1,63.6,58.0,5131,6.55,6.5,4.15,2,3,3
9815,1.01,GOOD,E,SI1,63.6,60.0,5132,6.32,6.38,4.04,2,6,3
9816,1.01,GOOD,E,SI1,63.7,58.0,5132,6.32,6.36,4.04,2,6,3
9817,1.01,VERY GOOD,D,SI1,61.5,54.0,5132,6.4,6.47,3.96,3,7,3
9818,1.01,GOOD,E,SI1,63.4,60.0,5132,6.3,6.34,4.01,2,6,3
9819,1.01,VERY GOOD,E,SI1,58.2,59.0,5132,6.54,6.59,3.82,3,6,3
9820,1.01,VERY GOOD,E,SI1,62.8,60.0,5132,6.38,6.39,4.01,3,6,3
9821,1.01,IDEAL,E,SI1,61.8,56.0,5132,6.46,6.51,4.01,5,6,3
9822,1.13,PREMIUM,D,SI2,60.9,59.0,5133,6.65,6.72,4.07,4,7,2
9823,1.11,PREMIUM,D,SI2,61.3,60.0,5134,6.6,6.54,4.03,4,7,2
9824,1.05,PREMIUM,D,SI2,58.9,58.0,5134,6.74,6.67,3.95,4,7,2
9825,1.03,PREMIUM,H,SI1,59.5,58.0,5134,6.64,6.58,3.93,4,3,3
9826,1.11,PREMIUM,D,SI2,59.9,57.0,5134,6.74,6.72,4.03,4,7,2
9827,0.9,VERY GOOD,G,VS1,61.4,57.0,5135,6.2,6.24,3.82,3,4,5
9828,1.21,VERY GOOD,J,VS2,62.2,59.0,5136,6.79,6.84,4.24,3,1,4
9829,1.16,PREMIUM,D,SI2,62.5,60.0,5136,6.7,6.64,4.17,4,7,2
9830,1.08,PREMIUM,D,SI2,62.1,58.0,5138,6.62,6.59,4.1,4,7,2
9831,1.01,PREMIUM,G,SI1,62.3,59.0,5139,6.38,6.3,3.95,4,4,3
9832,1.15,PREMIUM,H,SI1,60.9,57.0,5139,6.8,6.72,4.12,4,3,3
9833,1.0,PREMIUM,H,VS2,59.7,59.0,5139,6.57,6.52,3.91,4,3,4
9834,1.0,IDEAL,H,VS2,62.5,56.0,5139,6.41,6.33,3.98,5,3,4
9835,1.05,PREMIUM,H,SI1,60.2,62.0,5139,6.57,6.52,3.94,4,3,3
9836,1.14,PREMIUM,G,SI2,60.9,56.0,5139,6.8,6.73,4.12,4,4,2
9837,1.2,VERY GOOD,J,VS2,59.9,60.0,5140,6.98,6.95,4.17,3,1,4
9838,1.21,PREMIUM,H,SI2,60.6,56.0,5140,6.92,6.84,4.17,4,3,2
9839,1.3,PREMIUM,J,SI2,61.1,61.0,5140,7.0,6.95,4.26,4,1,2
9840,1.5,VERY GOOD,J,I1,63.3,58.0,5141,7.27,7.23,4.59,3,1,1
9841,1.2,GOOD,G,SI2,63.6,54.0,5141,6.75,6.71,4.28,2,4,2
9842,1.2,PREMIUM,I,SI2,62.7,58.0,5141,6.82,6.76,4.26,4,2,2
9843,1.08,IDEAL,H,SI2,61.4,57.0,5141,6.66,6.6,4.07,5,3,2
9844,1.08,IDEAL,I,SI1,62.6,54.0,5141,6.56,6.51,4.09,5,2,3
9845,1.01,IDEAL,G,SI1,61.8,55.0,5141,6.46,6.43,3.98,5,4,3
9846,1.2,VERY GOOD,J,SI1,61.2,55.0,5142,6.84,6.88,4.2,3,1,3
9847,1.07,VERY GOOD,H,SI1,59.2,61.0,5143,6.65,6.67,3.94,3,3,3
9848,1.03,IDEAL,G,SI1,60.3,58.0,5143,6.57,6.62,3.98,5,4,3
9849,1.06,IDEAL,H,SI1,62.2,57.0,5143,6.56,6.49,4.06,5,3,3
9850,0.91,VERY GOOD,E,VS2,61.1,58.0,5145,6.2,6.28,3.81,3,6,4
9851,1.14,IDEAL,H,SI1,61.6,57.0,5146,6.68,6.73,4.13,5,3,3
9852,1.24,GOOD,H,SI1,62.0,65.0,5146,6.88,6.84,4.25,2,3,3
9853,1.01,IDEAL,D,SI1,62.4,54.0,5147,6.52,6.38,4.03,5,7,3
9854,1.03,IDEAL,G,SI1,61.1,57.0,5147,6.54,6.58,4.01,5,4,3
9855,1.13,VERY GOOD,E,SI2,63.4,59.0,5147,6.53,6.59,4.16,3,6,2
9856,1.06,IDEAL,E,SI2,60.9,57.0,5147,6.58,6.62,4.02,5,6,2
9857,1.01,GOOD,D,SI1,63.9,60.0,5147,6.32,6.29,4.03,2,7,3
9858,1.01,GOOD,D,SI1,63.9,62.0,5147,6.31,6.25,4.01,2,7,3
9859,1.01,GOOD,D,SI1,63.9,61.0,5147,6.31,6.28,4.02,2,7,3
9860,1.01,PREMIUM,H,VS1,61.6,57.0,5147,6.47,6.38,3.96,4,3,5
9861,1.01,PREMIUM,D,SI1,59.8,54.0,5147,6.6,6.5,3.93,4,7,3
9862,1.01,PREMIUM,D,SI1,59.2,61.0,5147,6.4,6.34,3.77,4,7,3
9863,1.01,PREMIUM,D,SI1,58.1,61.0,5147,6.66,6.59,3.85,4,7,3
9864,1.01,FAIR,D,SI1,64.4,61.0,5147,6.17,6.13,3.96,1,7,3
9865,1.0,GOOD,G,VS2,63.8,59.0,5148,6.26,6.34,4.02,2,4,4
9866,0.9,VERY GOOD,G,VS1,61.5,56.0,5148,6.2,6.23,3.82,3,4,5
9867,1.14,VERY GOOD,I,VS1,63.3,56.0,5148,6.68,6.6,4.2,3,2,5
9868,1.14,PREMIUM,I,VS1,60.3,57.0,5148,6.83,6.81,4.11,4,2,5
9869,1.13,IDEAL,I,SI1,61.9,57.0,5149,6.68,6.66,4.13,5,2,3
9870,1.09,IDEAL,H,SI1,61.4,57.0,5149,6.66,6.6,4.07,5,3,3
9871,1.09,PREMIUM,H,SI1,60.5,60.0,5149,6.72,6.67,4.05,4,3,3
9872,1.09,IDEAL,H,SI1,62.3,57.0,5149,6.58,6.54,4.09,5,3,3
9873,0.9,VERY GOOD,E,VS1,61.1,59.0,5151,6.14,6.2,3.77,3,6,5
9874,0.83,IDEAL,E,VS1,62.2,56.0,5151,5.99,6.03,3.74,5,6,5
9875,1.26,PREMIUM,I,SI2,60.1,59.0,5151,7.0,6.91,4.18,4,2,2
9876,1.06,PREMIUM,H,VS2,61.1,59.0,5152,6.58,6.51,4.0,4,3,4
9877,1.15,IDEAL,J,VS1,61.5,55.0,5152,6.81,6.76,4.17,5,1,5
9878,1.11,IDEAL,I,VS1,63.0,56.0,5152,6.61,6.57,4.15,5,2,5
9879,1.11,PREMIUM,E,SI2,62.6,59.0,5152,6.71,6.65,4.18,4,6,2
9880,1.0,PREMIUM,G,SI1,60.5,61.0,5152,6.51,6.45,3.92,4,4,3
9881,1.27,IDEAL,I,SI2,62.1,56.0,5154,6.92,6.96,4.31,5,2,2
9882,1.18,IDEAL,I,SI1,62.1,56.0,5154,6.79,6.77,4.21,5,2,3
9883,0.34,IDEAL,G,VS2,62.2,55.0,596,4.47,4.5,2.79,5,4,4
9884,0.4,GOOD,I,SI1,63.9,57.0,596,4.66,4.7,2.99,2,2,3
9885,0.34,IDEAL,G,VS2,61.0,57.0,596,4.48,4.5,2.74,5,4,4
9886,0.34,PREMIUM,G,VS2,61.8,58.0,596,4.47,4.5,2.77,4,4,4
9887,0.34,IDEAL,G,VS2,62.1,57.0,596,4.46,4.5,2.78,5,4,4
9888,0.34,PREMIUM,G,VS2,61.6,60.0,596,4.47,4.49,2.76,4,4,4
9889,0.34,IDEAL,G,VS2,62.7,55.0,596,4.48,4.49,2.81,5,4,4
9890,0.4,VERY GOOD,I,SI1,59.8,57.0,596,4.8,4.83,2.88,3,2,3
9891,0.34,VERY GOOD,E,SI1,62.9,55.0,596,4.47,4.5,2.82,3,6,3
9892,0.34,PREMIUM,G,VS2,60.2,58.0,596,4.52,4.55,2.73,4,4,4
9893,0.34,VERY GOOD,E,SI1,63.0,55.0,596,4.42,4.47,2.8,3,6,3
9894,0.4,GOOD,G,SI2,63.2,56.0,596,4.7,4.73,2.98,2,4,2
9895,0.4,GOOD,I,SI1,63.2,54.0,596,4.67,4.69,2.96,2,2,3
9896,0.34,IDEAL,G,VS2,62.1,55.0,596,4.46,4.49,2.78,5,4,4
9897,0.4,GOOD,G,SI2,63.4,59.0,596,4.64,4.66,2.95,2,4,2
9898,0.34,PREMIUM,H,VS1,62.2,58.0,596,4.43,4.48,2.77,4,3,5
9899,0.34,GOOD,E,SI1,63.3,56.0,596,4.41,4.44,2.8,2,6,3
9900,0.34,VERY GOOD,E,SI1,59.0,60.0,596,4.56,4.62,2.71,3,6,3
9901,0.34,IDEAL,G,VS2,62.0,54.0,596,4.47,4.5,2.78,5,4,4
9902,0.4,IDEAL,I,SI1,61.6,56.0,596,4.68,4.74,2.9,5,2,3
9903,0.34,GOOD,I,VVS2,63.1,56.0,596,4.43,4.47,2.81,2,2,6
9904,0.34,IDEAL,H,VS1,62.3,55.0,596,4.45,4.48,2.78,5,3,5
9905,0.34,PREMIUM,H,VS1,62.1,58.0,596,4.46,4.49,2.78,4,3,5
9906,0.34,PREMIUM,G,VS2,61.6,58.0,596,4.45,4.51,2.76,4,4,4
9907,0.34,VERY GOOD,G,VS2,60.3,54.0,596,4.53,4.56,2.74,3,4,4
9908,0.34,PREMIUM,I,VVS2,61.5,60.0,596,4.45,4.49,2.75,4,2,6
9909,0.26,VERY GOOD,E,VVS2,63.0,58.0,597,4.08,4.11,2.58,3,6,6
9910,1.08,IDEAL,H,SI1,59.7,60.0,5154,6.71,6.69,4.0,5,3,3
9911,1.04,PREMIUM,D,SI2,59.8,58.0,5154,6.61,6.56,3.94,4,7,2
9912,1.04,PREMIUM,H,SI1,61.6,58.0,5154,6.53,6.48,4.01,4,3,3
9913,1.0,PREMIUM,G,SI1,61.9,62.0,5154,6.22,6.18,3.84,4,4,3
9914,1.2,PREMIUM,G,SI1,62.2,58.0,5154,6.8,6.7,4.2,4,4,3
9915,1.08,VERY GOOD,H,VS2,62.2,57.0,5155,6.5,6.55,4.06,3,3,4
9916,0.94,IDEAL,D,SI2,62.2,56.0,5155,6.24,6.27,3.89,5,7,2
9917,1.25,PREMIUM,J,VS1,60.9,59.0,5156,6.9,6.92,4.21,4,1,5
9918,1.05,IDEAL,D,SI2,62.1,56.0,5156,6.48,6.54,4.04,5,7,2
9919,1.37,PREMIUM,J,SI2,60.7,60.0,5156,7.19,7.07,4.33,4,1,2
9920,1.62,PREMIUM,J,SI2,61.8,59.0,5157,7.48,7.44,4.61,4,1,2
9921,1.01,IDEAL,H,SI1,61.8,54.0,5158,6.48,6.44,3.99,5,3,3
9922,1.09,IDEAL,I,VS2,62.0,57.0,5158,6.64,6.58,4.1,5,2,4
9923,1.23,IDEAL,J,SI2,62.4,58.0,5158,6.79,6.86,4.26,5,1,2
9924,1.29,IDEAL,D,I1,61.3,56.0,5158,7.05,6.99,4.3,5,7,1
9925,1.06,IDEAL,D,SI2,62.3,55.0,5159,6.5,6.54,4.06,5,7,2
9926,1.06,IDEAL,G,SI1,62.0,56.0,5159,6.52,6.55,4.05,5,4,3
9927,1.22,VERY GOOD,J,VS2,60.8,56.0,5160,6.95,6.91,4.21,3,1,4
9928,1.0,FAIR,G,VS2,64.5,58.0,5161,6.26,6.2,4.02,1,4,4
9929,1.44,PREMIUM,E,I1,61.1,62.0,5161,7.23,7.15,4.39,4,6,1
9930,1.05,PREMIUM,H,SI1,59.3,58.0,5161,6.65,6.61,3.93,4,3,3
9931,1.28,PREMIUM,H,SI2,62.5,62.0,5161,6.89,6.84,4.3,4,3,2
9932,1.06,VERY GOOD,G,SI1,63.4,58.0,5163,6.44,6.47,4.09,3,4,3
9933,1.17,VERY GOOD,E,SI2,62.5,59.0,5163,6.65,6.7,4.17,3,6,2
9934,1.18,IDEAL,I,SI2,61.9,54.0,5163,6.77,6.84,4.21,5,2,2
9935,1.04,IDEAL,E,SI2,61.6,55.0,5163,6.51,6.54,4.02,5,6,2
9936,1.09,IDEAL,D,SI2,62.1,56.0,5164,6.56,6.59,4.08,5,7,2
9937,1.09,PREMIUM,D,SI2,61.2,60.0,5164,6.6,6.64,4.05,4,7,2
9938,1.13,IDEAL,G,SI2,62.9,54.0,5164,6.72,6.67,4.21,5,4,2
9939,1.01,VERY GOOD,I,VS1,61.7,59.0,5165,6.45,6.51,4.0,3,2,5
9940,1.09,VERY GOOD,E,SI2,62.2,58.0,5165,6.54,6.61,4.09,3,6,2
9941,1.13,IDEAL,I,VS2,62.2,55.0,5165,6.69,6.67,4.15,5,2,4
9942,1.22,PREMIUM,I,SI2,62.9,56.0,5165,6.84,6.79,4.29,4,2,2
9943,1.1,PREMIUM,D,SI1,60.4,59.0,5166,6.66,6.69,4.03,4,7,3
9944,1.01,PREMIUM,H,VS2,59.1,58.0,5166,6.58,6.59,3.89,4,3,4
9945,1.01,IDEAL,H,VS2,62.7,56.0,5166,6.35,6.4,4.0,5,3,4
9946,1.01,GOOD,H,VS2,63.1,59.0,5166,6.3,6.34,3.99,2,3,4
9947,1.01,PREMIUM,H,VS2,61.6,59.0,5166,6.45,6.47,3.98,4,3,4
9948,1.01,PREMIUM,H,VS2,61.6,59.0,5166,6.39,6.41,3.94,4,3,4
9949,1.01,PREMIUM,H,VS2,61.3,59.0,5166,6.41,6.45,3.94,4,3,4
9950,1.01,VERY GOOD,D,SI2,64.0,56.0,5166,6.3,6.38,4.06,3,7,2
9951,1.01,IDEAL,G,SI1,62.2,55.0,5166,6.44,6.46,4.01,5,4,3
9952,1.25,PREMIUM,J,SI1,62.0,58.0,5166,6.9,6.88,4.27,4,1,3
9953,1.25,PREMIUM,I,SI2,60.5,58.0,5166,7.0,6.96,4.22,4,2,2
9954,1.05,PREMIUM,H,VS2,62.3,57.0,5166,6.49,6.45,4.03,4,3,4
9955,1.07,IDEAL,I,VS2,60.6,59.0,5167,6.64,6.62,4.02,5,2,4
9956,0.91,PREMIUM,G,VVS2,61.8,58.0,5167,6.24,6.16,3.83,4,4,6
9957,0.91,PREMIUM,D,VS2,62.0,58.0,5167,6.2,6.15,3.83,4,7,4
9958,1.35,PREMIUM,G,SI2,60.5,60.0,5167,7.16,7.11,4.32,4,4,2
9959,0.91,PREMIUM,E,VS1,61.9,59.0,5167,6.23,6.17,3.84,4,6,5
9960,1.18,GOOD,D,SI2,60.7,63.0,5168,6.77,6.81,4.12,2,7,2
9961,1.0,VERY GOOD,D,VS2,63.4,59.0,5169,6.35,6.3,4.01,3,7,4
9962,1.02,PREMIUM,G,SI1,61.7,58.0,5169,6.47,6.37,3.96,4,4,3
9963,1.3,IDEAL,G,SI2,61.9,57.0,5169,7.01,6.95,4.32,5,4,2
9964,1.0,PREMIUM,H,VS1,61.8,61.0,5169,6.4,6.31,3.93,4,3,5
9965,1.25,PREMIUM,J,VS2,62.0,59.0,5170,6.87,6.9,4.27,4,1,4
9966,1.57,IDEAL,H,I1,62.8,56.0,5170,7.42,7.36,4.64,5,3,1
9967,0.93,IDEAL,H,VS1,61.8,57.0,5171,6.23,6.27,3.86,5,3,5
9968,1.08,FAIR,H,VVS2,55.9,63.0,5171,6.9,6.8,3.83,1,3,6
9969,1.08,PREMIUM,H,SI1,62.6,58.0,5171,6.56,6.53,4.1,4,3,3
9970,1.02,PREMIUM,H,VS2,61.9,57.0,5171,6.5,6.4,3.99,4,3,4
9971,1.16,IDEAL,G,SI2,61.6,55.0,5171,6.8,6.78,4.18,5,4,2
9972,1.01,VERY GOOD,H,SI1,63.0,57.0,5172,6.34,6.36,4.0,3,3,3
9973,1.08,IDEAL,I,VS2,61.9,57.0,5172,6.54,6.61,4.07,5,2,4
9974,1.26,PREMIUM,J,VS2,62.0,60.0,5173,7.0,6.86,4.3,4,1,4
9975,1.2,VERY GOOD,D,SI2,63.2,60.0,5174,6.65,6.54,4.17,3,7,2
9976,1.0,VERY GOOD,E,SI1,63.5,61.0,5174,6.33,6.24,3.99,3,6,3
9977,1.2,PREMIUM,H,SI2,62.4,61.0,5174,6.81,6.78,4.24,4,3,2
9978,1.2,IDEAL,I,SI1,62.1,55.0,5174,6.83,6.79,4.23,5,2,3
9979,1.2,IDEAL,I,SI1,62.2,56.0,5174,6.75,6.73,4.19,5,2,3
9980,1.14,IDEAL,J,SI1,61.5,56.0,5174,6.7,6.74,4.13,5,1,3
9981,1.0,GOOD,E,SI1,63.7,60.0,5174,6.29,6.24,3.99,2,6,3
9982,1.0,GOOD,D,VS2,62.1,64.0,5174,6.38,6.35,3.95,2,7,4
9983,1.0,PREMIUM,D,VS2,62.9,57.0,5174,6.37,6.32,3.99,4,7,4
9984,1.2,PREMIUM,H,VVS2,60.0,60.0,5174,6.86,6.78,4.09,4,3,6
9985,1.0,PREMIUM,E,SI1,61.1,60.0,5174,6.47,6.42,3.94,4,6,3
9986,1.1,IDEAL,E,SI2,61.6,56.0,5174,6.64,6.61,4.08,5,6,2
9987,1.1,PREMIUM,E,SI2,61.7,59.0,5174,6.64,6.59,4.08,4,6,2
9988,1.23,IDEAL,I,SI2,62.1,56.0,5175,6.84,6.88,4.26,5,2,2
9989,1.3,GOOD,J,VS2,63.6,59.0,5175,6.87,6.9,4.38,2,1,4
9990,1.0,VERY GOOD,E,SI1,63.1,59.0,5175,6.34,6.4,4.02,3,6,3
9991,1.31,PREMIUM,E,SI2,61.2,60.0,5176,7.02,6.93,4.27,4,6,2
9992,1.3,PREMIUM,J,SI1,61.5,58.0,5176,7.02,6.97,4.3,4,1,3
9993,1.08,IDEAL,D,SI2,59.1,60.0,5177,6.7,6.76,3.98,5,7,2
9994,1.07,PREMIUM,G,VS2,59.8,58.0,5177,6.67,6.63,3.98,4,4,4
9995,1.12,IDEAL,H,SI2,62.4,54.0,5178,6.65,6.68,4.16,5,3,2
9996,1.11,FAIR,H,SI1,65.7,61.0,5178,6.42,6.39,4.21,1,3,3
9997,1.13,VERY GOOD,H,SI2,62.0,58.0,5179,6.67,6.71,4.15,3,3,2
9998,1.13,PREMIUM,E,SI1,60.8,58.0,5179,6.77,6.71,4.1,4,6,3
9999,1.04,PREMIUM,H,SI1,60.7,58.0,5179,6.55,6.53,3.97,4,3,3
10000,1.03,IDEAL,I,VS1,61.3,53.0,5181,6.54,6.57,4.01,5,2,5
10001,1.23,IDEAL,J,SI1,61.3,54.0,5181,6.92,6.97,4.26,5,1,3
10002,1.18,PREMIUM,E,SI2,62.5,60.0,5181,6.74,6.7,4.2,4,6,2
10003,1.12,PREMIUM,G,SI1,59.5,62.0,5181,6.81,6.76,4.04,4,4,3
10004,1.69,VERY GOOD,J,I1,60.2,61.0,5182,7.7,7.79,4.66,3,1,1
10005,1.18,IDEAL,J,VS1,61.4,56.0,5182,6.79,6.82,4.18,5,1,5
10006,1.18,IDEAL,J,VS1,61.7,56.0,5182,6.79,6.82,4.2,5,1,5
10007,1.01,IDEAL,I,VS1,61.1,54.0,5182,6.46,6.48,3.95,5,2,5
10008,1.18,IDEAL,H,SI2,61.2,57.0,5182,6.81,6.86,4.18,5,3,2
10009,0.92,VERY GOOD,G,VVS2,62.3,57.0,5183,6.19,6.27,3.88,3,4,6
10010,1.02,PREMIUM,E,SI1,62.6,58.0,5183,6.44,6.47,4.05,4,6,3
10011,1.2,VERY GOOD,G,SI2,62.1,56.0,5183,6.79,6.87,4.24,3,4,2
10012,1.02,PREMIUM,E,SI1,61.5,58.0,5183,6.46,6.51,3.99,4,6,3
10013,1.02,GOOD,E,SI1,63.2,61.0,5183,6.31,6.37,4.01,2,6,3
10014,1.06,PREMIUM,G,SI1,62.7,56.0,5183,6.55,6.46,4.08,4,4,3
10015,1.23,PREMIUM,H,SI1,62.1,58.0,5183,6.85,6.78,4.23,4,3,3
10016,1.21,PREMIUM,I,SI2,62.7,55.0,5184,6.84,6.79,4.27,4,2,2
10017,1.21,PREMIUM,G,SI2,59.1,55.0,5184,7.04,6.98,4.14,4,4,2
10018,1.21,IDEAL,I,SI2,60.6,56.0,5184,6.94,6.92,4.2,5,2,2
10019,1.01,FAIR,E,SI1,56.8,61.0,5185,6.59,6.62,3.75,1,6,3
10020,1.01,VERY GOOD,H,VS2,62.0,59.0,5186,6.45,6.48,4.01,3,3,4
10021,1.15,VERY GOOD,D,SI2,61.8,61.0,5186,6.62,6.69,4.11,3,7,2
10022,1.09,PREMIUM,D,SI2,60.3,60.0,5186,6.68,6.61,4.01,4,7,2
10023,1.31,VERY GOOD,I,SI2,59.6,60.0,5187,7.09,7.17,4.25,3,2,2
10024,1.06,IDEAL,H,SI1,61.7,56.0,5188,6.58,6.55,4.05,5,3,3
10025,1.01,IDEAL,H,SI1,62.1,59.0,5189,6.38,6.43,3.98,5,3,3
10026,1.08,VERY GOOD,E,SI1,63.1,59.0,5189,6.53,6.49,4.11,3,6,3
10027,1.04,IDEAL,H,VS2,61.0,57.0,5189,6.56,6.53,3.99,5,3,4
10028,1.08,IDEAL,E,SI1,62.6,57.0,5189,6.56,6.53,4.1,5,6,3
10029,1.01,PREMIUM,H,VS2,61.0,61.0,5190,6.47,6.39,3.92,4,3,4
10030,1.21,VERY GOOD,H,SI2,62.1,60.0,5190,6.77,6.82,4.22,3,3,2
10031,1.21,VERY GOOD,I,SI1,61.2,62.0,5190,6.81,6.84,4.18,3,2,3
10032,1.18,PREMIUM,G,SI2,61.4,58.0,5190,6.82,6.77,4.17,4,4,2
10033,1.18,PREMIUM,G,SI2,62.5,54.0,5190,6.81,6.78,4.25,4,4,2
10034,1.23,VERY GOOD,I,SI2,62.6,59.0,5191,6.78,6.86,4.27,3,2,2
10035,1.15,PREMIUM,H,VS2,60.2,58.0,5191,6.86,6.8,4.11,4,3,4
10036,1.01,VERY GOOD,G,SI1,63.7,60.0,5192,6.31,6.35,4.03,3,4,3
10037,1.11,VERY GOOD,H,SI1,60.8,60.0,5192,6.62,6.77,4.07,3,3,3
10038,1.11,VERY GOOD,H,SI1,63.2,58.0,5192,6.53,6.61,4.15,3,3,3
10039,1.05,IDEAL,G,SI1,61.8,56.0,5192,6.5,6.54,4.03,5,4,3
10040,1.22,IDEAL,J,SI1,62.3,55.0,5192,6.91,6.83,4.28,5,1,3
10041,1.22,VERY GOOD,H,SI2,63.1,59.0,5192,6.81,6.75,4.28,3,3,2
10042,1.22,PREMIUM,H,SI2,61.6,59.0,5192,6.82,6.75,4.18,4,3,2
10043,1.15,VERY GOOD,E,SI2,63.1,63.0,5193,6.63,6.53,4.15,3,6,2
10044,1.15,PREMIUM,E,SI2,61.7,59.0,5193,6.7,6.66,4.12,4,6,2
10045,1.13,PREMIUM,H,SI1,62.3,58.0,5194,6.68,6.67,4.16,4,3,3
10046,1.06,IDEAL,H,SI1,61.4,55.0,5194,6.62,6.58,4.05,5,3,3
10047,0.9,VERY GOOD,D,VS1,58.9,59.0,5195,6.22,6.31,3.69,3,7,5
10048,1.1,VERY GOOD,I,VS1,60.8,58.3,5196,6.63,6.68,4.04,3,2,5
10049,1.25,GOOD,I,SI2,63.3,55.8,5197,6.83,6.87,4.34,2,2,2
10050,1.05,VERY GOOD,G,SI1,61.6,57.0,5197,6.51,6.54,4.02,3,4,3
10051,1.01,GOOD,H,SI1,59.5,62.0,5197,6.49,6.55,3.88,2,3,3
10052,1.02,GOOD,D,SI1,57.2,54.0,5198,6.66,6.62,3.8,2,7,3
10053,1.19,FAIR,I,SI1,64.9,58.0,5198,6.64,6.55,4.28,1,2,3
10054,1.02,PREMIUM,D,SI2,59.7,60.0,5198,6.58,6.55,3.92,4,7,2
10055,1.02,VERY GOOD,D,SI1,63.2,58.0,5198,6.41,6.35,4.03,3,7,3
10056,1.01,GOOD,G,VS2,63.1,55.0,5199,6.36,6.38,4.02,2,4,4
10057,1.01,PREMIUM,H,VS1,62.7,58.0,5199,6.37,6.39,4.0,4,3,5
10058,1.04,IDEAL,I,VS1,62.4,57.0,5199,6.44,6.48,4.03,5,2,5
10059,1.1,IDEAL,I,SI1,61.6,55.0,5199,6.66,6.68,4.11,5,2,3
10060,1.05,IDEAL,H,SI1,61.1,56.0,5200,6.52,6.58,4.0,5,3,3
10061,1.01,IDEAL,H,SI1,60.4,58.0,5200,6.47,6.5,3.92,5,3,3
10062,0.9,GOOD,E,VS1,62.7,58.0,5201,6.07,6.12,3.82,2,6,5
